,epochs,k_max,k_min,nModels,seed,train,valid,valid_avg
0,22,4,2,1,9198,0.27292961341620714,0.47008335632307063,0.47008336468185286
1,24,4,2,1,9198,0.26537612068443467,0.4698460338852322,0.46984604222930126
2,26,4,2,1,9198,0.25880410924708924,0.4708825825237826,0.47088258987683135
3,28,4,2,1,9198,0.2526813269214294,0.46770074250464816,0.4677007502991532
4,30,4,2,1,9198,0.24680234616549987,0.47129065394945413,0.4712906619910693
5,32,4,2,1,9198,0.24266585710988622,0.47158264995087784,0.47158265846958597
6,34,4,2,1,9198,0.23816958850463885,0.4717353247248936,0.4717353334543481
7,36,4,2,1,9198,0.23202930717815748,0.47433122034466996,0.47433122828775776
8,38,4,2,1,9198,0.2272574957463406,0.4742604749094879,0.47426048280055977
9,40,4,2,1,9198,0.22259040647498737,0.4750717076929857,0.4750717153929794
10,42,4,2,1,9198,0.22095177128301816,0.47658524654575024,0.47658525453873035
11,44,4,2,1,9198,0.21464730643727437,0.47965970157405563,0.47965971073585656
12,46,4,2,1,9198,0.2122324552344721,0.47951254954796174,0.4795125570462506
13,48,4,2,1,9198,0.2061138346125525,0.4818754348622495,0.4818754428608312
14,50,4,2,1,9198,0.20335022051071824,0.4828376934832822,0.48283770117447466
15,52,4,2,1,9198,0.1973947728380258,0.482333166728808,0.48233317503969164
16,54,4,2,1,9198,0.1962764543536095,0.4840211867837662,0.48402119498630236
17,56,4,2,1,9198,0.19235533966517276,0.48634035153427707,0.4863403600599994
18,58,4,2,1,9198,0.18712390963958853,0.48542708496856896,0.4854270931505128
19,60,4,2,1,9198,0.18705837535539446,0.48737820091215056,0.4873782096374175
20,62,4,2,1,9198,0.18162948143752264,0.4859910595772737,0.48599106704947664
21,64,4,2,1,9198,0.1794953033980335,0.49088533196035433,0.490885339868616
22,66,4,2,1,9198,0.17543200531000439,0.4909195748674884,0.4909195836833115
23,68,4,2,1,9198,0.1714932346621162,0.4945120224665854,0.49451202934543365
24,70,4,2,1,9198,0.16861666374658799,0.4950410757782743,0.49504108400187025
25,72,4,2,1,9198,0.1661283344564493,0.4964420124047694,0.4964420205965904
26,74,4,2,1,9198,0.16346469590535975,0.4971292881110345,0.49712929616197604
27,76,4,2,1,9198,0.16208406258049105,0.49758461967018885,0.4975846277584124
28,78,4,2,1,9198,0.15623186295917393,0.4996342696882471,0.49963427777639624
29,80,4,2,1,9198,0.15471998584514457,0.5045589793960358,0.5045589868148004
30,82,4,2,1,9198,0.15275137772566713,0.5047403307660226,0.5047403384758037
31,84,4,2,1,9198,0.14718717521723113,0.5010746476637572,0.5010746579871547
32,86,4,2,1,9198,0.14467740615293043,0.5026785255834558,0.5026785333873626
33,88,4,2,1,9198,0.14237895779434495,0.5054561753937437,0.505456184389637
34,90,4,2,1,9198,0.14055177147404604,0.5103673465828037,0.5103673555443976
35,92,4,2,1,9198,0.1384245293076229,0.5118322833320165,0.5118322910400885
36,94,4,2,1,9198,0.13511897222362382,0.5104210727353942,0.5104210818501395
37,96,4,2,1,9198,0.1327538799252107,0.5095728596234145,0.5095728678421382
38,98,4,2,1,9198,0.13176245297933575,0.5116648264090362,0.5116648340964297
39,100,4,2,1,9198,0.12894342409425,0.5121093995286725,0.5121094080052923
40,22,4,2,2,9199,0.27069552351717757,0.4697794652224507,0.44790875333504454
41,24,4,2,2,9199,0.26381858398033026,0.4713371979844214,0.44817609111124007
42,26,4,2,2,9199,0.25810584862688224,0.47174847822711263,0.4489267736855305
43,28,4,2,2,9199,0.25127134058728656,0.4726678289102118,0.4463910817892938
44,30,4,2,2,9199,0.24789517573844483,0.47252129681335997,0.44763692522471005
45,32,4,2,2,9199,0.24114204267819495,0.47326295851187694,0.4473205180167315
46,34,4,2,2,9199,0.23606974038514292,0.4745418975150229,0.44763466422721226
47,36,4,2,2,9199,0.23181151928843735,0.4741318837221588,0.44775056265500446
48,38,4,2,2,9199,0.22834723148529656,0.4749597862700479,0.4479484084210525
49,40,4,2,2,9199,0.22149008548742366,0.4777999379741336,0.44895553684551687
50,42,4,2,2,9199,0.21846539929061007,0.476611948049392,0.4491007938786093
51,44,4,2,2,9199,0.21502178832854807,0.48177458695073994,0.4519100886755969
52,46,4,2,2,9199,0.20963749623216246,0.48033136753224215,0.4501613638691389
53,48,4,2,2,9199,0.2074637340268169,0.48200431781533926,0.45150422166182386
54,50,4,2,2,9199,0.20459464356675547,0.4834806999592525,0.4513906407895322
55,52,4,2,2,9199,0.19925081929172478,0.4825360323848578,0.4513517017113959
56,54,4,2,2,9199,0.1960330839640516,0.47948202118458566,0.4497064460022018
57,56,4,2,2,9199,0.19164057430904197,0.48666809848673853,0.4529825229522403
58,58,4,2,2,9199,0.1874589481539548,0.4888015562745738,0.4535248648540563
59,60,4,2,2,9199,0.18646615948675757,0.48669534542129367,0.45372477724459664
60,62,4,2,2,9199,0.1816365630797926,0.4881023396138669,0.452538246247644
