,epochs,nModels,seed,train,valid,valid_avg
0,22,1,3819,0.33175315431745944,0.4739360994168204,0.4739361070853123
1,24,1,3819,0.3285945296074947,0.4764719728588835,0.4764719799982648
2,26,1,3819,0.32022097982397346,0.4717748852657054,0.4717748928934445
3,28,1,3819,0.3174147892915144,0.4758618571032506,0.4758618639498355
4,30,1,3819,0.3104859269843924,0.4723976137977301,0.4723976196238908
5,32,1,3819,0.3060404323409042,0.4720516723532793,0.4720516796468732
6,34,1,3819,0.3015750056142518,0.474235012549757,0.4742350194152412
7,36,1,3819,0.2965376614693145,0.4730996450193044,0.4730996525535499
8,38,1,3819,0.2929756480367418,0.4740650424007283,0.4740650500502022
9,40,1,3819,0.2885703696208316,0.4752867915230323,0.4752867991080737
10,42,1,3819,0.2841488573078997,0.4766776586967164,0.4766776671190686
11,44,1,3819,0.2798202767461132,0.4729933812210016,0.4729933884578394
12,46,1,3819,0.2763229012304773,0.4741107509211753,0.4741107580525759
13,48,1,3819,0.2722885989975632,0.4779677551876959,0.4779677623494646
14,50,1,3819,0.26664086703108325,0.4746588097169038,0.4746588169720605
15,52,1,3819,0.2659673928162115,0.4767475846633856,0.4767475919073729
16,54,1,3819,0.2599884943592813,0.4743086926422069,0.4743086992626249
17,56,1,3819,0.2549741020387055,0.4756289222145039,0.4756289290701863
18,58,1,3819,0.2528453772816629,0.4772275362732608,0.4772275441223178
19,60,1,3819,0.2485258854859861,0.4790336246665201,0.4790336321777149
20,62,1,3819,0.2458144081196265,0.4786517196003911,0.4786517272556883
21,64,1,3819,0.2427267903385183,0.4779184562305922,0.4779184640599496
22,66,1,3819,0.2390135989719169,0.4795112530122138,0.4795112608634566
23,68,1,3819,0.2388447191791689,0.482660592471337,0.482660599339681
24,70,1,3819,0.2322029568062185,0.4821958146287341,0.4821958233078072
25,72,1,3819,0.2292431664870491,0.4817015435541571,0.4817015510526261
26,74,1,3819,0.22530853066926526,0.4842005657451495,0.4842005718462321
27,76,1,3819,0.22145355495023514,0.4809618522516956,0.480961859004419
28,78,1,3819,0.22101268962035825,0.4846023179360212,0.484602325111325
29,80,1,3819,0.21632569435622792,0.4848131070416453,0.4848131144479062
30,82,1,3819,0.2150517704952938,0.4866906177424504,0.4866906246133581
31,84,1,3819,0.21061157126414745,0.4838727546211967,0.483872761696101
32,86,1,3819,0.20843710847778898,0.4880287519888064,0.4880287597360992
33,88,1,3819,0.2039084449877526,0.4878417548678973,0.4878417622379698
34,90,1,3819,0.2026494866061172,0.4902532805356644,0.4902532874531699
35,92,1,3819,0.19857669724854785,0.4891748241111412,0.4891748303556699
36,94,1,3819,0.19571457815161586,0.4894848963377707,0.4894849038465357
37,96,1,3819,0.19157592924742456,0.4922978247897598,0.4922978304503088
38,98,1,3819,0.1908085076844893,0.4943946436260359,0.4943946497861505
39,100,1,3819,0.18726676491101435,0.4974685307097102,0.4974685373655127
40,102,1,3819,0.186606133554838,0.4973425756609426,0.4973425826476554
41,104,1,3819,0.18163019483476955,0.4936557894391854,0.4936557967117881
42,106,1,3819,0.18071220645943203,0.4991786968362894,0.4991787040094992
43,108,1,3819,0.17878203486573446,0.5006017665876771,0.5006017732261
44,110,1,3819,0.17499824688502674,0.498240379230631,0.4982403855265844
45,112,1,3819,0.17235126498365008,0.5065716545653975,0.5065716616686976
46,114,1,3819,0.16977151941054622,0.5008428003715291,0.5008428076252572
47,116,1,3819,0.16832846886559907,0.5050319976668358,0.5050320054960206
48,118,1,3819,0.16485371754896935,0.5042974484122542,0.5042974546369358
49,120,1,3819,0.1657051585946634,0.5048008525735578,0.5048008595689472
50,122,1,3819,0.16576280720246228,0.5094796355524054,0.5094796425787551
51,124,1,3819,0.15920676462211392,0.5026529626050711,0.5026529693294053
52,126,1,3819,0.15903412300240535,0.5060842054049752,0.506084212850384
53,128,1,3819,0.15744731958002808,0.5085331803090587,0.5085331864948339
54,130,1,3819,0.1524214826358244,0.5133521273125595,0.513352133497883
55,132,1,3819,0.1499557323401956,0.5135651016399293,0.5135651085131151
56,134,1,3819,0.14993008512164488,0.5100608250861769,0.5100608316110482
57,136,1,3819,0.14877808494317188,0.5100972818691657,0.5100972883826508
58,138,1,3819,0.14803412089220438,0.513744541272427,0.5137445474052328
59,140,1,3819,0.1416352223732658,0.5201468842637481,0.5201468908891692
60,22,2,3820,0.3211206434839287,0.4691463513091336,0.4547282027082255
61,24,2,3820,0.3118207670844602,0.4652472426807766,0.453311969958459
62,26,2,3820,0.3090541056832773,0.4670457362170071,0.4518610306817873
63,28,2,3820,0.3045750033933514,0.4662554546777586,0.4525788894193804
64,30,2,3820,0.2983680293888976,0.4672897108493624,0.4514208117344466
65,32,2,3820,0.29132862876546484,0.4652365944940712,0.44988845251534654
66,34,2,3820,0.2856534802317177,0.4672479822782037,0.4509542137499773
67,36,2,3820,0.2840527479417017,0.4693414966004234,0.4510201077981573
68,38,2,3820,0.2789441588701582,0.467439109454539,0.4500343383120937
69,40,2,3820,0.2755764939353001,0.4700546196509898,0.4519398430634806
70,42,2,3820,0.26967781226913073,0.46955021955419896,0.4517225953473407
71,44,2,3820,0.2675760681654097,0.469165161942033,0.4499290700193937
72,46,2,3820,0.2589398477199539,0.4667950001531022,0.4484153894225424
73,48,2,3820,0.2573679619426787,0.4677251210572208,0.44965636442144136
74,50,2,3820,0.25190186704408474,0.4697782595749849,0.4487000337822443
75,52,2,3820,0.2476580500165829,0.4704089118650793,0.449997347052748
76,54,2,3820,0.2464481353560225,0.4716369907618467,0.4498426653261454
77,56,2,3820,0.2413892821063332,0.4763458458888975,0.4517151295705548
78,58,2,3820,0.23599670127435665,0.4714810096164642,0.4495464475232692
79,60,2,3820,0.233641485046083,0.4731028732642651,0.4502559168261223
80,62,2,3820,0.2297272706272296,0.4736862598079677,0.4495288471016354
81,64,2,3820,0.2290309096164673,0.4771687175096533,0.4497880537776842
82,66,2,3820,0.2236159522228276,0.4732327151047462,0.4506148388201041
83,68,2,3820,0.21860857973261047,0.4770631808373344,0.4521241564209738
84,70,2,3820,0.21417267342193816,0.4731912027850549,0.4501412394495424
85,72,2,3820,0.21178328606132898,0.476543313300785,0.4508052092273528
86,74,2,3820,0.2065307489720174,0.4799579005685631,0.4527412998469477
87,76,2,3820,0.20408096526221492,0.4765283764657078,0.44913110052359945
88,78,2,3820,0.2020176930366779,0.4770890976372322,0.4504310460582766
89,80,2,3820,0.19836026627391004,0.4816440758614526,0.4522547892159101
90,82,2,3820,0.19632608268843027,0.4791783501384849,0.45174047038378
91,84,2,3820,0.19059060886452744,0.4818304455439806,0.4504421997557892
92,86,2,3820,0.1930417482664965,0.4828571151045642,0.4525024110047695
93,88,2,3820,0.18530367618716145,0.4833119143682987,0.4501701580386751
94,90,2,3820,0.18079077528644927,0.4874602872712388,0.4556154446153173
95,92,2,3820,0.1814127628376229,0.4868614954152486,0.4538716925379924
96,94,2,3820,0.17733404192898947,0.4877123134608429,0.4533741012397966
97,96,2,3820,0.1766200242986287,0.4917545365125411,0.4565740961536445
98,98,2,3820,0.17328252800177193,0.4907967049934941,0.4570471566344217
99,100,2,3820,0.17106036542860212,0.49043625966100995,0.4565562871409622
100,102,2,3820,0.1715062654734438,0.4964856759791815,0.4590262965350308
101,104,2,3820,0.1699801245949059,0.496034404884234,0.4578583300912063
102,106,2,3820,0.1678427970805244,0.4984193227755785,0.4606949405810756
103,108,2,3820,0.15809355863963453,0.4909094036625669,0.4569732253595993
