,mb,mf,nModels,ntree,seed,tc,valid,valid_avg
0,5,40,1,160,112233,13,0.465460549957882,0.4654605572744839
1,5,40,1,180,112233,13,0.46180256288536803,0.4618025710603654
2,5,40,1,200,112233,13,0.4592796432928308,0.4592796507210085
3,5,40,1,220,112233,13,0.457642037393182,0.45764204500134037
4,5,40,1,240,112233,13,0.45701439284219464,0.4570144011455076
5,5,40,1,260,112233,13,0.4565028293804746,0.45650283664569163
6,5,40,1,280,112233,13,0.45611697103529686,0.45611697863316675
7,5,40,1,300,112233,13,0.4565865246803686,0.456586531217938
8,5,40,1,320,112233,13,0.4570410869831384,0.4570410942738631
9,5,40,1,340,112233,13,0.45766752341298084,0.45766753078607353
10,5,40,1,360,112233,13,0.45854694055390793,0.4585469487517342
11,5,40,2,160,112234,13,0.46570939784754095,0.4617658922076871
12,5,40,2,180,112234,13,0.46206359460686447,0.4579047980538563
13,5,40,2,200,112234,13,0.4593469286534677,0.45514105789191767
14,5,40,2,220,112234,13,0.45793776599759883,0.45360696267490025
15,5,40,2,240,112234,13,0.45705912612896515,0.4526520237110105
16,5,40,2,260,112234,13,0.45645810245755997,0.4518968747500394
17,5,40,2,280,112234,13,0.4564051874677803,0.45160764955549165
18,5,40,2,300,112234,13,0.45640870822191626,0.4517356148467974
19,5,40,2,320,112234,13,0.45700028524911035,0.45212336309208706
20,5,40,2,340,112234,13,0.4573142627413995,0.4524119200923899
21,5,40,2,360,112234,13,0.45796545573819436,0.4531223120940029
22,5,40,3,160,112235,13,0.4670919148162511,0.46100596706130764
23,5,40,3,180,112235,13,0.4639138410293676,0.45729548026436173
24,5,40,3,200,112235,13,0.4612145992537522,0.4545018152118312
25,5,40,3,220,112235,13,0.4594390935376411,0.45282619500289645
26,5,40,3,240,112235,13,0.45750333676504107,0.4514382483565764
27,5,40,3,260,112235,13,0.4566349084659674,0.45058767364775687
28,5,40,3,280,112235,13,0.4564609430424474,0.4502573019134503
29,5,40,3,300,112235,13,0.45643219061413876,0.4502320278375869
30,5,40,3,320,112235,13,0.4569336103376186,0.450528150699062
31,5,40,3,340,112235,13,0.45738663992069245,0.4507707158148864
32,5,40,3,360,112235,13,0.45806954192450067,0.4513596757277148
33,5,40,4,160,112236,13,0.46612306491205424,0.46032012447772863
34,5,40,4,180,112236,13,0.4625529277257038,0.4565413475899767
35,5,40,4,200,112236,13,0.46045199764169337,0.4538460582493198
36,5,40,4,220,112236,13,0.45826674261304645,0.4519113443726205
37,5,40,4,240,112236,13,0.45754352338170795,0.4506175406527534
38,5,40,4,260,112236,13,0.45700461269861625,0.4497410919641733
39,5,40,4,280,112236,13,0.4567753215548764,0.4494044037696795
40,5,40,4,300,112236,13,0.45695694872623055,0.4493797225782992
41,5,40,4,320,112236,13,0.45690209467011544,0.4495469959425285
42,5,40,4,340,112236,13,0.45730205969832255,0.44971985656460595
43,5,40,4,360,112236,13,0.4582103626502419,0.45030503344151995
44,5,40,5,160,112237,13,0.4653562027473136,0.45973681891373114
45,5,40,5,180,112237,13,0.46191556003866774,0.4559449294689631
46,5,40,5,200,112237,13,0.45945737951655913,0.45324362250511513
47,5,40,5,220,112237,13,0.4577965745420388,0.45131580292853773
48,5,40,5,240,112237,13,0.456641325509801,0.4499895865076419
49,5,40,5,260,112237,13,0.4563533157055103,0.4491589326351291
50,5,40,5,280,112237,13,0.4556723047127176,0.4487274835873661
51,5,40,5,300,112237,13,0.45582766294786986,0.44869964445082355
52,5,40,5,320,112237,13,0.45571813336814854,0.44877432897404423
53,5,40,5,340,112237,13,0.45656050901474315,0.4490295728584602
54,5,40,5,360,112237,13,0.45703929660251746,0.44954793387006736
55,5,40,6,160,112238,13,0.4663887531688788,0.45949674877731755
56,5,40,6,180,112238,13,0.4633624012180418,0.4557789575685015
57,5,40,6,200,112238,13,0.46107668815012587,0.45310329869489757
58,5,40,6,220,112238,13,0.4597237037083582,0.4512246085252808
59,5,40,6,240,112238,13,0.4584935783924016,0.44987292209275315
60,5,40,6,260,112238,13,0.45718244620236,0.4489279011312142
61,5,40,6,280,112238,13,0.45706285353493675,0.44848991037544234
62,5,40,6,300,112238,13,0.4575887085990021,0.4484974931930377
63,5,40,6,320,112238,13,0.458718020936202,0.44871098925316727
64,5,40,6,340,112238,13,0.4591226295819804,0.44894005330008374
65,5,40,6,360,112238,13,0.460344731011221,0.4495580459088391
66,5,40,7,160,112239,13,0.46729646669698216,0.4594672892352273
67,5,40,7,180,112239,13,0.4634609905717583,0.4556898951124773
68,5,40,7,200,112239,13,0.46116630874839687,0.4530321140095542
69,5,40,7,220,112239,13,0.45928788723351155,0.4510999731338988
70,5,40,7,240,112239,13,0.4582827162622356,0.4497501876590268
71,5,40,7,260,112239,13,0.45725127249170006,0.44876606907432365
72,5,40,7,280,112239,13,0.4570060272278612,0.44831252331622007
73,5,40,7,300,112239,13,0.457000536880967,0.4482759789781279
74,5,40,7,320,112239,13,0.45732618536442676,0.4484677492390737
75,5,40,7,340,112239,13,0.45810256983293624,0.44875553226532705
76,5,40,7,360,112239,13,0.45881538454847526,0.44936182551405934
77,5,40,8,160,112240,13,0.464061504865388,0.4590556153569437
78,5,40,8,180,112240,13,0.46074635758524696,0.4552952357673657
79,5,40,8,200,112240,13,0.4587633968380543,0.45267246407490047
80,5,40,8,220,112240,13,0.45723552905209924,0.45075135627333573
81,5,40,8,240,112240,13,0.4562179950073227,0.4494063178755071
82,5,40,8,260,112240,13,0.4556867638515182,0.44844585216872623
83,5,40,8,280,112240,13,0.45560811920826244,0.447983000694982
84,5,40,8,300,112240,13,0.45518294260297354,0.4478664132940844
85,5,40,8,320,112240,13,0.45634183436802656,0.44813212375817885
86,5,40,8,340,112240,13,0.45755569922266914,0.448480443243983
87,5,40,8,360,112240,13,0.4583607031049331,0.4490836457466208
88,5,40,9,160,112241,13,0.46379917631438855,0.4587537986904945
89,5,40,9,180,112241,13,0.46047051531787625,0.45501527424067356
90,5,40,9,200,112241,13,0.45792976832290205,0.45234809372445767
91,5,40,9,220,112241,13,0.456241643976854,0.4504193247270652
92,5,40,9,240,112241,13,0.45517240604055176,0.44905780645214155
93,5,40,9,260,112241,13,0.45437008062676404,0.4481058441936909
94,5,40,9,280,112241,13,0.4541355224259604,0.4476339043366287
95,5,40,9,300,112241,13,0.45404583764786866,0.44750093369465954
96,5,40,9,320,112241,13,0.45462170389875206,0.44777549034165476
97,5,40,9,340,112241,13,0.45514431047221215,0.44811259294513545
98,5,40,9,360,112241,13,0.4555916874450396,0.4486769836141429
99,5,40,10,160,112242,13,0.46513580406506916,0.4586485949309077
100,5,40,10,180,112242,13,0.4613371116547403,0.45489220840640515
101,5,40,10,200,112242,13,0.45844144218663785,0.4521890028738521
102,5,40,10,220,112242,13,0.45639677211275675,0.45021588920794897
103,5,40,10,240,112242,13,0.45549480282620686,0.4488693225856307
104,5,40,10,260,112242,13,0.455073144906053,0.44795134737751785
105,5,40,10,280,112242,13,0.45466628071304743,0.4474566845123055
106,5,40,10,300,112242,13,0.4546460421181283,0.44730278218684044
107,5,40,10,320,112242,13,0.4551038093836676,0.44756812185622324
108,5,40,10,340,112242,13,0.4560555650513456,0.44793070527189316
109,5,40,10,360,112242,13,0.4567431108657231,0.4484778775287276
110,5,40,11,160,112243,13,0.4659606468484983,0.4585494032420231
111,5,40,11,180,112243,13,0.4623174641991981,0.4547787650418116
112,5,40,11,200,112243,13,0.45967955046729236,0.4520564452673134
113,5,40,11,220,112243,13,0.45819749264328596,0.45009994328681713
114,5,40,11,240,112243,13,0.45721921668765225,0.4487637203722364
115,5,40,11,260,112243,13,0.4566245755650742,0.4478595080305657
116,5,40,11,280,112243,13,0.4563776492799017,0.4473752762974674
117,5,40,11,300,112243,13,0.456490978714047,0.4472221651112916
118,5,40,11,320,112243,13,0.4565389542447542,0.4474469185326014
119,5,40,11,340,112243,13,0.45735698776337835,0.44781868131735103
120,5,40,11,360,112243,13,0.4579555095934006,0.44835438407756745
121,5,40,12,160,112244,13,0.46318352893093706,0.45830035734404717
122,5,40,12,180,112244,13,0.45973065448526007,0.45454297443431046
123,5,40,12,200,112244,13,0.45717530918371696,0.4518209001514755
124,5,40,12,220,112244,13,0.45527833207970425,0.44985449016986195
125,5,40,12,240,112244,13,0.4539716296412807,0.44850410799201296
126,5,40,12,260,112244,13,0.45319542953428876,0.44760528140612915
127,5,40,12,280,112244,13,0.4533838114247625,0.44715141993080587
128,5,40,12,300,112244,13,0.4538928475278852,0.44703120081234077
129,5,40,12,320,112244,13,0.4543721490965192,0.44726083547893625
130,5,40,12,340,112244,13,0.4548478360103694,0.44762520479112117
131,5,40,12,360,112244,13,0.45576069309004885,0.4481650691466406
132,5,40,13,160,112245,13,0.4650795091810885,0.4582077430584359
133,5,40,13,180,112245,13,0.4612202421599719,0.4544221019142565
134,5,40,13,200,112245,13,0.45903860461721263,0.4517195807564047
135,5,40,13,220,112245,13,0.45715582973223395,0.44974777013255396
136,5,40,13,240,112245,13,0.4557939518473416,0.44838022653480825
137,5,40,13,260,112245,13,0.45531024503415235,0.44748621758620094
138,5,40,13,280,112245,13,0.45540217376964437,0.4470499195673659
139,5,40,13,300,112245,13,0.45574978689073387,0.44695410983081507
140,5,40,13,320,112245,13,0.4558601298445235,0.4471552772276844
141,5,40,13,340,112245,13,0.4565184327985771,0.44752564969541103
142,5,40,13,360,112245,13,0.4572545093513206,0.44807811983386997
143,5,40,14,160,112246,13,0.4665447067861327,0.4582447577471874
144,5,40,14,180,112246,13,0.463079163578675,0.45445398351379585
145,5,40,14,200,112246,13,0.4611919709375223,0.4517913594640772
146,5,40,14,220,112246,13,0.4594515591148232,0.44981780753273853
147,5,40,14,240,112246,13,0.45852158732654624,0.44846140794449146
148,5,40,14,260,112246,13,0.4574255529156865,0.4475433266302897
149,5,40,14,280,112246,13,0.45708913899240255,0.4470968216287788
150,5,40,14,300,112246,13,0.4569283525387833,0.4469844740062083
151,5,40,14,320,112246,13,0.4571146844083479,0.447164001849725
152,5,40,14,340,112246,13,0.4577684574515692,0.4475361743513704
153,5,40,14,360,112246,13,0.4582832752124011,0.4480704720832358
154,5,40,15,160,112247,13,0.467627488187465,0.45833348226263393
155,5,40,15,180,112247,13,0.4643598918781903,0.45454832828183045
156,5,40,15,200,112247,13,0.46161284951078607,0.4518599683481692
157,5,40,15,220,112247,13,0.4598773475869321,0.4498812452510981
158,5,40,15,240,112247,13,0.4586827710991541,0.4485122585099271
159,5,40,15,260,112247,13,0.4582571418834843,0.44761422098542303
160,5,40,15,280,112247,13,0.4580784593316123,0.44716392391310794
161,5,40,15,300,112247,13,0.4582619419232673,0.44706031957576725
162,5,40,15,320,112247,13,0.45866608835308254,0.44723789777501444
163,5,40,15,340,112247,13,0.4590323199521731,0.4475860048747905
164,5,40,15,360,112247,13,0.4597017505336734,0.4481115395606959
165,5,40,16,160,112248,13,0.46593776142558846,0.4583294546788093
166,5,40,16,180,112248,13,0.4629586342559291,0.4545814530149922
167,5,40,16,200,112248,13,0.460446023867805,0.4518809682471182
168,5,40,16,220,112248,13,0.45891427392928386,0.44990552254168903
169,5,40,16,240,112248,13,0.45752809635236896,0.4485238677894144
170,5,40,16,260,112248,13,0.4572559205085397,0.44764879360199417
171,5,40,16,280,112248,13,0.45621885671986395,0.44714162251208406
172,5,40,16,300,112248,13,0.45658751849513024,0.4470470621813919
173,5,40,16,320,112248,13,0.45732136971893633,0.4472455307652678
174,5,40,16,340,112248,13,0.4579144665678366,0.4475862017468002
175,5,40,16,360,112248,13,0.45825855217167205,0.4480884012257502
176,5,40,17,160,112249,13,0.4644324999535615,0.4582366643657267
177,5,40,17,180,112249,13,0.4608782654131481,0.45448530717616686
178,5,40,17,200,112249,13,0.45892017728046347,0.45180565495635583
179,5,40,17,220,112249,13,0.4576602675013473,0.449848263401888
180,5,40,17,240,112249,13,0.4567192543808152,0.448473880806982
181,5,40,17,260,112249,13,0.45628426222109314,0.4476110983399315
182,5,40,17,280,112249,13,0.4567492942233548,0.4471376361017789
183,5,40,17,300,112249,13,0.4567438130885719,0.44702965102866504
184,5,40,17,320,112249,13,0.45681044799847814,0.4472073114224305
185,5,40,17,340,112249,13,0.4570751503645696,0.44753259989058564
186,5,40,17,360,112249,13,0.4582670848460119,0.448057717329853
187,5,40,18,160,112250,13,0.4654822985530255,0.4582162745558525
188,5,40,18,180,112250,13,0.4615298055427437,0.45443758888209795
